1, 42252, Pitch_bend_c, 0, 8377
1, 42278, Pitch_bend_c, 0, 8563
1, 42305, Pitch_bend_c, 0, 8770
1, 42331, Pitch_bend_c, 0, 9101
1, 42356, Pitch_bend_c, 0, 9390
1, 42382, Pitch_bend_c, 0, 9618
1, 42408, Pitch_bend_c, 0, 9866
1, 42433, Pitch_bend_c, 0, 10052
1, 42459, Pitch_bend_c, 0, 10218
1, 42484, Pitch_bend_c, 0, 10404
1, 42510, Pitch_bend_c, 0, 10569
1, 42536, Pitch_bend_c, 0, 10755
1, 42561, Pitch_bend_c, 0, 11024
1, 42585, Pitch_bend_c, 0, 11335
1, 42612, Pitch_bend_c, 0, 11500
1, 42638, Pitch_bend_c, 0, 11624
1, 42688, Pitch_bend_c, 0, 11728
1, 42790, Pitch_bend_c, 0, 11831
1, 42843, Pitch_bend_c, 0, 11934
1, 42894, Pitch_bend_c, 0, 12141
1, 42920, Pitch_bend_c, 0, 12224
1, 46425, Pitch_bend_c, 0, 12017
1, 46450, Pitch_bend_c, 0, 11541
1, 46476, Pitch_bend_c, 0, 10817
1, 46502, Pitch_bend_c, 0, 10073
1, 46529, Pitch_bend_c, 0, 9328
1, 46553, Pitch_bend_c, 0, 8521
1, 46579, Pitch_bend_c, 0, 8192
1, 46585, Note_on_c, 0, 60, 0
1, 47444, Note_on_c, 0, 60, 93
1, 47851, Note_on_c, 0, 61, 72
1, 47978, Note_on_c, 0, 60, 0
1, 48322, Note_on_c, 0, 63, 82
1, 48422, Note_on_c, 0, 61, 0
1, 50004, Note_on_c, 0, 61, 59
1, 50046, Note_on_c, 0, 63, 0
1, 50209, Note_on_c, 0, 63, 84
1, 50265, Note_on_c, 0, 61, 0
1, 51296, Note_on_c, 0, 61, 72
1, 51348, Note_on_c, 0, 63, 0
1, 51484, Note_on_c, 0, 63, 78
1, 51598, Note_on_c, 0, 61, 0
1, 53264, Note_on_c, 0, 63, 0
1, 53508, Note_on_c, 0, 63, 66
1, 53716, Note_on_c, 0, 68, 80
1, 53790, Note_on_c, 0, 63, 0
1, 53904, Note_on_c, 0, 66, 87
1, 53964, Note_on_c, 0, 68, 0
1, 54080, Note_on_c, 0, 68, 76
1, 54172, Note_on_c, 0, 66, 0
1, 55488, Note_on_c, 0, 68, 0
1, 55713, Note_on_c, 0, 66, 82
1, 56305, Pitch_bend_c, 0, 7926
1, 56332, Pitch_bend_c, 0, 7758
1, 56358, Pitch_bend_c, 0, 7565
1, 56384, Pitch_bend_c, 0, 7421
1, 56409, Pitch_bend_c, 0, 7300
1, 56435, Pitch_bend_c, 0, 7107
1, 56460, Pitch_bend_c, 0, 6698
1, 56486, Pitch_bend_c, 0, 6409
1, 56512, Pitch_bend_c, 0, 6096
1, 56536, Pitch_bend_c, 0, 5855
1, 56563, Pitch_bend_c, 0, 5686
1, 56588, Pitch_bend_c, 0, 5541
1, 56665, Pitch_bend_c, 0, 5349
1, 56689, Pitch_bend_c, 0, 5011
1, 56716, Pitch_bend_c, 0, 4746
1, 56742, Pitch_bend_c, 0, 4481
1, 56766, Pitch_bend_c, 0, 4289
1, 56792, Pitch_bend_c, 0, 4168
1, 56817, Pitch_bend_c, 0, 4048
1, 56870, Pitch_bend_c, 0, 3927
1, 56919, Pitch_bend_c, 0, 3783
1, 56996, Pitch_bend_c, 0, 3614
1, 57024, Pitch_bend_c, 0, 3421
1, 57049, Pitch_bend_c, 0, 3277
1, 57073, Pitch_bend_c, 0, 2940
1, 57100, Pitch_bend_c, 0, 2843
1, 57126, Pitch_bend_c, 0, 2554
1, 57150, Pitch_bend_c, 0, 2458
1, 57177, Pitch_bend_c, 0, 2265
1, 57227, Pitch_bend_c, 0, 2048
1, 57278, Pitch_bend_c, 0, 1928
1, 57329, Pitch_bend_c, 0, 1783
1, 57382, Pitch_bend_c, 0, 1615
1, 57406, Pitch_bend_c, 0, 1518
1, 57457, Pitch_bend_c, 0, 1277
1, 57508, Pitch_bend_c, 0, 1133
